name,brand,rating,price_bdt,release_year,os,display_inches,camera_megapixel,ram_gb,battery_mah
Oukitel WP23 Plus,Oukitel,5.8,22000.0,"2025, February",Android 14,6.6,13,8,10600.0
Xiaomi 15 Ultra,Xiaomi,9.8,140000.0,"2025, February 27",Android 15,6.73,50,8,5410.0
Samsung Galaxy M06,Samsung,7.0,15000.0,"2025, March 07",Android 15,6.74,50,4,5000.0
Vivo Y04,Vivo,6.3,11999.0,"2025, March 11",Android 14,6.74,13,4,5500.0
Samsung Galaxy A36,Samsung,7.5,40999.0,"2025, March 10",Android 15,6.7,50,3,5000.0
Samsung Galaxy A26,Samsung,7.3,35999.0,"2025, March 21",Android 15,6.7,50,6,5000.0
Samsung Galaxy A56,Samsung,7.5,49999.0,"2025, March 10",Android 15,6.7,50,8,5000.0
Samsung Galaxy M16,Samsung,7.4,19000.0,"2025, March 05",Android 15,6.7,50,4,5000.0
Walton Orbit Y71,Walton,5.9,9399.0,"2025, February 26",Android 14 (Go Edition),6.6,8,8,5000.0
Oppo Reno13 FS,Oppo,7.6,60000.0,"2025, February 25",Android 15,6.67,50,1,5800.0
Realme Neo7x,Realme,7.3,25000.0,"2025, February 25",Android 15,6.67,50,4,6000.0
Oppo A5 Pro,Oppo,7.4,30000.0,"2025, March 10",Android 15,6.67,50,6,5800.0
Realme Neo7 SE,Realme,8.5,47000.0,"2025, February 25",Android 15,6.78,50,8,7000.0
Ulefone Armor 28 Ultra,Ulefone,9.3,0.0,"2025, March 17",Android 15,6.67,64,16,10600.0
Walton XANON X91,Walton,7.4,30999.0,"2025, February 28",Android 14,6.7,64,12,5000.0
Coolpad X100,Coolpad,6.3,25000.0,"2025, February",Android 14,6.78,108,8,5000.0
Apple iPhone 16e,Apple,8.5,104999.0,"2025, February 28",iOS 18.3.1,6.1,48,8,4005.0
Samsung Galaxy A06 5G,Samsung,7.0,15000.0,"2025, February 19",Android 15,6.7,50,4,5000.0
Oukitel WP100 Titan,Oukitel,9.0,110000.0,"2025, February 18",Android 14,6.8,200,16,33000.0
Realme P3 Pro,Realme,7.8,32000.0,"2025, February 25",Android 15,6.83,50,3,6000.0
Realme P3x,Realme,7.8,21000.0,"2025, February 28",Android 15,6.72,50,6,6000.0
Vivo Y29 4G,Vivo,6.3,19999.0,"2025, February 19",Android 15,6.68,50,6,6500.0
Umidigi Note 100 5G,Umidigi,6.1,20000.0,"2025, February",Android 14,6.8,50,6,5000.0
Umidigi Note 100A,Umidigi,5.6,20000.0,"2025, February",Android 14,6.8,13,4,5000.0
Realme GT7 Pro Racing,Realme,8.0,60000.0,"2025, February 13",Android 15,6.78,50,8,6500.0
Samsung Galaxy F06 5G,Samsung,7.0,15000.0,"2025, February 20",Android 15,6.7,50,4,5000.0
HMD Aura 2,HMD,5.8,15000.0,"2025, March 13",Android 14,6.52,13,4,5000.0
Oukitel WP39 Pro,Oukitel,8.3,50000.0,"2025, March 15",Android 14,6.6,64,12,11000.0
Oukitel WP35 Pro,Oukitel,8.0,75000.0,"2025, March 15",Android 14,6.6,64,6,11000.0
Asus Zenfone 12 Ultra,Asus,9.0,130000.0,"2025, February 28",Android 15,6.78,50,8,5500.0
Asus ROG Phone 9 FE,Asus,9.1,110000.0,"2025, February 04",Android 15,6.78,50,3,5500.0
Doogee Blade GT Ultra,Doogee,8.0,80000.0,"2025, February",Android 14,6.72,100,16,5500.0
Xiaomi Poco M7,Xiaomi,7.3,17000.0,"2025, March 07",Android 14,6.88,50,2,5160.0
ZTE Blade V70 Max,ZTE,5.9,0.0,"2025, February 15",Android 15,6.9,50,6,6000.0
Itel Flip 1,Itel,7.0,3000.0,"2025, February 01",,2.4,0,0,
Lava Yuva Smart,Lava,5.8,10000.0,"2025, January",Android 14,6.56,13,3,5000.0
Realme 14x,Realme,7.1,21000.0,"2025, January 24",Android 15,6.67,50,8,5000.0
Oscal Pilot 1,Oscal,7.0,20000.0,"2025, January",Android 14,6.67,50,6,15000.0
Oscal Flat 2C,Oscal,5.3,0.0,"2025, January",Android 14,6.56,13,2,5000.0
Oscal Flat 2,Oscal,6.0,12000.0,"2025, January",Android 14,6.56,13,4,5000.0
Vivo Y200 4G,Vivo,6.6,30000.0,"2025, January",Android 14,6.67,50,8,5000.0
Sonim XP400,Sonim,6.8,45000.0,"2025, January 22",Android 14,6.5,50,2,5000.0
Samsung Galaxy S25 Ultra,Samsung,10.0,199999.0,"2025, February 03",Android 15,6.9,200,8,5000.0
Samsung Galaxy S25+,Samsung,8.9,139999.0,"2025, February 03",Android 15,6.7,50,8,4900.0
Doogee S119,Doogee,7.4,40000.0,"2025, January",Android 14,6.72,100,8,10200.0
Samsung Galaxy S25,Samsung,7.6,72000.0,"2025, February 03",Android 15,6.2,50,8,4000.0
Doogee S118 Pro,Doogee,8.0,30000.0,"2025, January",Android 14,6.58,108,8,10800.0
Realme 14 Pro,Realme,7.8,33000.0,"2025, January 23",Android 15,6.77,50,8,6000.0
ZTE Nubia Flip2,ZTE,7.4,0.0,"2025, June",Android 14,6.9,50,6,4325.0
Motorola Moto G (2025),Motorola,7.1,25000.0,"2025, January 30",Android 15,6.7,50,4,5000.0
Honor X8c,Honor,6.9,29999.0,"2025, January 20",Android 15,6.7,108,6,5000.0
Motorola Moto G Power (2025),Motorola,7.4,40000.0,"2025, February 06",Android 15,6.8,50,8,5000.0
Honor 400 Pro,Honor,9.1,79999.0,"2025, May 23",Android 15,6.7,200,3,5300.0
Honor 400,Honor,7.5,59999.0,"2025, May 23",Android 15,6.55,200,3,5300.0
Thuraya One,Thuraya,7.4,150000.0,"2025, January",Android 14,6.67,50,6,
Xiaomi Redmi Note 14 Pro+ 5G,Xiaomi,8.1,31000.0,"2025, January 15",Android 14,6.67,200,3,5110.0
Xiaomi Redmi Note 14 Pro 5G,Xiaomi,8.3,28000.0,"2025, January 15",Android 14,6.67,200,8,5110.0
Xiaomi Redmi Note 14 Pro 4G,Xiaomi,7.5,29999.0,"2025, January 16",Android 14,6.67,200,8,5500.0
Xiaomi Redmi Note 14 5G,Xiaomi,7.5,27000.0,"2025, January 16",Android 14,6.67,108,6,5110.0
Xiaomi Redmi Note 14 4G,Xiaomi,7.3,20999.0,"2025, January 14",Android 14,6.67,108,6,5500.0
Itel Zeno 10,Itel,6.1,10000.0,"2025, January 10",Android 14,6.6,8,3,5000.0
Xiaomi Poco X7 Pro,Xiaomi,8.3,34000.0,"2025, January 09",Android 15,6.67,50,8,6550.0
Xiaomi Poco X7,Xiaomi,7.8,25000.0,"2025, January 09",Android 15,6.67,50,8,5110.0
OnePlus 13T,OnePlus,8.8,65000.0,"2025, April 30",Android 15,6.32,50,8,6260.0
ZTE nubia Music 2,ZTE,6.5,15000.0,"2025, January 07",Android 14,6.7,50,4,5000.0
OnePlus 13R,OnePlus,8.3,56000.0,"2025, January 14",Android 15,6.78,50,3,6000.0
Oppo Reno13 F 4G,Oppo,6.8,30990.0,"2025, January 10",Android 15,6.67,50,8,5800.0
Tecno Spark Go 1S,Tecno,6.0,10000.0,"2025, January",Android 14,6.67,13,3,5000.0
Oppo Reno13 F,Oppo,7.5,0.0,"2025, January 11",Android 15,6.67,50,1,5800.0
Huawei Nova Y72S,Huawei,6.3,20000.0,"2025, April",Android 12,6.75,50,4,6000.0
Xiaomi Redmi 14C 5G,Xiaomi,7.0,20000.0,"2025, January 10",Android 14,6.88,50,2,5160.0
Huawei Enjoy 70X,Huawei,7.4,0.0,"2025, January 13",HarmonyOS 4.2,6.78,50,8000,6100.0
Vivo iQOO Z9 Turbo Endurance,Vivo,8.3,30000.0,"2025, January 03",Android 15,6.78,50,3,6400.0
HMD Key,HMD,5.6,10000.0,"2025, February",Android 14,6.52,8,2,4000.0
Vivo Y200+,Vivo,6.5,18000.0,2025 January 02,Android 14,6.68,50,2,6000.0
Xiaomi Redmi Turbo 4,Xiaomi,8.8,33000.0,"2025, January 02",Android 15,6.67,50,12,6550.0
Honor Magic7 Lite,Honor,7.4,50000.0,"2025, January 02",Android 14,6.78,108,1,6600.0
Blackview BV8200,Blackview,7.6,30000.0,"2024, December 31",Android 14,6.5,50,12,8800.0
Xiaomi Redmi 14C (China),Xiaomi,6.5,15000.0,"2025, January 29",Android 14,6.88,13,4,5160.0
Lava Yuva 2 5G,Lava,6.6,15000.0,"2025, January",Android 14,6.67,50,4,5000.0
OnePlus Ace 5 Pro,OnePlus,8.9,65000.0,"2024, December 31",Android 15,6.78,50,8,6100.0
OnePlus Ace 5,OnePlus,8.1,46000.0,"2024, December 26",Android 15,6.78,50,3,6415.0
Walton NEXG N10 Ultra,Walton,6.5,17208.0,"2024, December",Android 14,6.7,50,12,5000.0
Oppo A5 Pro (China),Oppo,7.6,35000.0,"2024, December 27",Android 15,6.7,50,8,6000.0
Vivo Y29,Vivo,6.4,20000.0,"2024, December 24",Android 14,6.68,50,4,5500.0
Honor Magic7 RSR Porsche Design,Honor,10.0,220000.0,"2024, December 24",Android 15,6.8,180,8,5850.0
Ulefone Armor X31 Pro,Ulefone,7.4,25000.0,"2025, January 01",Android 14,6.56,64,8,6050.0
Nokia 110 4G 2nd Edition,Nokia,6.6,10000.0,"2024, December",,1.8,1,0,1450.0
Nokia 105 4G 2nd Edition,Nokia,6.4,8000.0,"2024, December",,1.8,0,0,1450.0
Doogee Fire 6 Power,Doogee,7.0,40000.0,"2024, December",Android 14,6.56,50,8,15500.0
